Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
54	-3.56789	2.2061582	-1.4	-10.0	0.0091743115	0.09534224	1.0	0.0	45.669724	412.0	0.0014981818181818182	-0.022342606	0.032084227	0.044405565	-0.22584544	0.0	0.0	0.0	0.0	2.8038025e-08	-0.0070751393	0.0	0.0	0.006294049	-0.0012139757	100.0	0.0	79.0	0.5312962	0.006662346	275000	27293.765481948853
55	-3.309649	1.544712	-1.3	-10.0	0.00877193	0.09324689	1.0	0.0	43.710526	413.0	0.001475	-0.024667954	0.03864491	0.057145208	-0.42132646	0.0	0.0	0.0	0.0	-8.869171e-09	-0.0069296723	0.0	0.0	0.006452771	-0.000911518	100.0	0.0	79.0	0.5177538	0.0077928347	280000	27788.906475543976
56	-3.3460176	1.3733258	-1.3	-10.0	0.0	0.0	0.0	0.0	44.16814	413.0	0.0014491228070175439	-0.0271948	0.041359983	0.074401625	-0.20845723	0.0	0.0	0.0	0.0	-6.008148e-09	-0.007608691	0.0	0.0	0.00092469185	-0.0006874627	100.0	0.0	79.0	0.57390493	0.006508948	285000	28285.82075691223
57	-3.285965	1.4008065	-1.6	-10.0	0.0	0.0	0.0	0.0	43.570175	413.0	0.0014241379310344828	-0.017401138	0.028568983	0.058497377	-0.2826806	0.0	0.0	0.0	0.0	9.727478e-09	-0.0055439943	0.0	0.0	0.0003931394	-0.00020335318	100.0	0.0	79.0	0.5689727	0.005766368	290000	28781.52751994133
58	-3.4071429	1.7017174	-1.1	-10.0	0.026785715	0.16145661	1.0	0.0	44.285713	416.0	0.0014101694915254236	-0.017010953	0.022495886	0.03062555	-0.28734666	0.0	0.0	0.0	0.0	-1.1444092e-09	-0.008029582	0.0	0.0	0.010616874	-0.0021962477	100.0	0.0	79.0	0.58052635	0.0095361555	295000	29280.964761018753
59	-3.3964283	1.5744574	-1.6	-10.0	0.0	0.0	0.0	0.0	44.57143	416.0	0.0013866666666666667	-0.03192364	0.05655439	0.063254476	-0.5724115	0.0	0.0	0.0	0.0	6.4849854e-09	-0.0084875915	0.0	0.0	0.0014304135	-0.0010308293	100.0	0.0	79.0	0.59511566	0.0066825463	300000	29777.731030225754
60	-3.3535714	1.566327	-1.6	-10.0	0.0	0.0	0.0	0.0	44.142857	416.0	0.001363934426229508	-0.018487714	0.029726742	0.03305135	-0.18779367	0.0	0.0	0.0	0.0	-5.722046e-09	-0.0073234425	0.0	0.0	0.00031770548	-0.000108483015	100.0	0.0	79.0	0.6239125	0.0054228776	305000	30272.551060914993
61	-3.4324324	1.5630972	-1.4	-10.0	0.009009009	0.094487295	1.0	0.0	44.82883	417.0	0.0013451612903225807	-0.022036172	0.034813084	0.038409084	-0.41398454	0.0	0.0	0.0	0.0	3.0517577e-09	-0.006652965	0.0	0.0	0.0031930984	-0.00072975806	100.0	0.0	79.0	0.6188878	0.0060228813	310000	30769.201673030853
62	-3.173276	1.2859558	-1.3	-10.0	0.01724138	0.13016956	1.0	0.0	42.448277	419.0	0.0013301587301587303	-0.01743172	0.027295502	0.052054707	-0.2420513	0.0	0.0	0.0	0.0	-6.9618227e-09	-0.0013801442	0.0	0.0	0.008200791	-0.0011359751	100.0	0.0	4.0	0.6013094	0.017949142	315000	31265.02461862564
63	-3.4000003	1.2824527	-1.5	-10.0	0.018018018	0.13301642	1.0	0.0	44.603603	421.0	0.001315625	-0.023815675	0.03416304	0.07230618	-0.47963357	0.0	0.0	0.0	0.0	-1.4781952e-08	-0.0061463015	0.0	0.0	0.010528313	-0.0030608326	100.0	0.0	52.0	0.59570366	0.01206091	320000	31763.061102628708
